iter	Passed	Remaining
0	60	60753
1	73	36467
2	86	28783
3	101	25332
4	113	22556
5	124	20551
6	134	19081
7	144	17920
8	153	16950
9	164	16317
10	175	15739
11	185	15272
12	195	14875
13	209	14719
14	220	14467
15	235	14480
16	246	14247
17	255	13957
18	266	13776
19	275	13493
20	285	13300
21	295	13138
22	304	12921
23	314	12782
24	324	12647
25	332	12464
26	342	12326
27	350	12159
28	360	12077
29	370	11987
30	379	11853
31	388	11757
32	395	11603
33	405	11526
34	413	11395
35	422	11309
36	436	11354
37	448	11356
38	458	11288
39	468	11247
40	478	11198
41	491	11210
42	502	11183
43	512	11128
44	520	11050
45	531	11016
46	541	10978
47	554	11004
48	565	10974
49	575	10932
50	583	10863
51	592	10807
52	601	10747
53	612	10730
54	621	10676
55	630	10620
56	640	10603
57	654	10632
58	667	10650
59	677	10619
60	690	10627
61	699	10582
62	715	10646
63	731	10691
64	742	10675
65	752	10646
66	765	10665
67	781	10705
68	789	10649
69	797	10589
70	807	10564
71	817	10542
72	826	10496
73	835	10454
74	846	10442
75	859	10452
76	869	10418
77	881	10423
78	893	10415
79	907	10436
80	915	10381
81	922	10325
82	928	10255
83	937	10225
84	947	10203
85	960	10205
86	967	10158
87	975	10111
88	983	10066
89	995	10069
90	1005	10041
91	1018	10055
92	1030	10052
93	1042	10052
94	1057	10075
95	1071	10093
96	1086	10114
97	1097	10104
98	1107	10082
99	1117	10057
100	1128	10043
101	1138	10027
102	1148	10003
103	1158	9982
104	1166	9943
105	1175	9918
106	1185	9891
107	1196	9880
108	1208	9880
109	1224	9905
110	1232	9872
111	1242	9854
112	1249	9805
113	1260	9795
114	1274	9804
115	1286	9804
116	1295	9776
117	1303	9740
118	1312	9715
119	1321	9690
120	1329	9661
121	1340	9645
122	1348	9611
123	1358	9595
124	1365	9556
125	1374	9536
126	1383	9512
127	1392	9485
128	1399	9450
129	1408	9424
130	1417	9402
131	1427	9384
132	1433	9345
133	1443	9326
134	1449	9287
135	1455	9248
136	1466	9237
137	1480	9245
138	1493	9248
139	1503	9234
140	1513	9223
141	1521	9192
142	1530	9171
143	1539	9150
144	1550	9142
145	1559	9120
146	1569	9105
147	1578	9084
148	1588	9070
149	1597	9050
150	1604	9020
151	1612	8994
152	1621	8976
153	1631	8964
154	1641	8950
155	1652	8938
156	1661	8920
157	1674	8923
158	1688	8930
159	1699	8921
160	1717	8947
161	1733	8965
162	1743	8955
163	1756	8954
164	1765	8936
165	1775	8922
166	1784	8903
167	1807	8949
168	1828	8990
169	1847	9019
170	1867	9052
171	1884	9071
172	1900	9083
173	1911	9075
174	1927	9087
175	1939	9082
176	1954	9086
177	1966	9079
178	1978	9076
179	1992	9075
180	2000	9053
181	2015	9060
182	2029	9058
183	2043	9063
184	2053	9047
185	2066	9042
186	2077	9030
187	2090	9027
188	2099	9007
189	2111	9001
190	2123	8992
191	2133	8979
192	2140	8949
193	2149	8929
194	2159	8916
195	2170	8903
196	2177	8876
197	2188	8863
198	2197	8846
199	2205	8820
200	2216	8812
201	2225	8790
202	2233	8768
203	2242	8749
204	2251	8732
205	2262	8719
206	2272	8705
207	2282	8692
208	2294	8682
209	2304	8668
210	2313	8650
211	2319	8622
212	2328	8602
213	2336	8582
214	2345	8565
215	2355	8548
216	2365	8534
217	2376	8523
218	2385	8506
219	2395	8493
220	2404	8475
221	2414	8462
222	2423	8445
223	2432	8425
224	2440	8405
225	2449	8390
226	2458	8372
227	2468	8356
228	2477	8341
229	2485	8322
230	2493	8302
231	2504	8289
232	2513	8275
233	2522	8258
234	2533	8247
235	2545	8239
236	2555	8225
237	2563	8208
238	2574	8198
239	2584	8182
240	2593	8167
241	2601	8149
242	2609	8130
243	2621	8122
244	2631	8109
245	2641	8097
246	2652	8085
247	2667	8087
248	2680	8083
249	2692	8076
250	2707	8077
251	2719	8072
252	2732	8067
253	2745	8064
254	2760	8065
255	2773	8060
256	2785	8053
257	2796	8041
258	2806	8028
259	2815	8012
260	2825	8001
261	2836	7990
262	2847	7979
263	2857	7967
264	2870	7960
265	2885	7961
266	2894	7945
267	2903	7931
268	2913	7918
269	2923	7903
270	2932	7888
271	2943	7878
272	2956	7873
273	2968	7864
274	2978	7851
275	2987	7836
276	2997	7823
277	3007	7810
278	3016	7794
279	3024	7777
280	3032	7759
281	3040	7741
282	3055	7741
283	3064	7727
284	3075	7715
285	3084	7700
286	3095	7689
287	3104	7674
288	3115	7663
289	3124	7650
290	3133	7633
291	3143	7621
292	3155	7613
293	3165	7601
294	3175	7588
295	3185	7577
296	3196	7565
297	3204	7549
298	3213	7534
299	3221	7517
300	3234	7510
301	3245	7500
302	3254	7485
303	3263	7471
304	3272	7457
305	3282	7445
306	3292	7433
307	3302	7420
308	3312	7406
309	3322	7395
310	3332	7383
311	3343	7371
312	3351	7355
313	3361	7344
314	3371	7330
315	3381	7319
316	3389	7302
317	3400	7292
318	3409	7279
319	3420	7268
320	3430	7256
321	3441	7247
322	3455	7241
323	3464	7228
324	3474	7215
325	3484	7203
326	3494	7192
327	3505	7182
328	3515	7169
329	3525	7157
330	3535	7145
331	3544	7132
332	3555	7121
333	3565	7109
334	3575	7097
335	3588	7091
336	3605	7093
337	3621	7092
338	3632	7083
339	3644	7074
340	3661	7076
341	3681	7082
342	3693	7074
343	3706	7069
344	3719	7061
345	3728	7047
346	3737	7033
347	3748	7023
348	3758	7011
349	3769	7000
350	3777	6984
351	3787	6972
352	3797	6959
353	3807	6948
354	3817	6935
355	3830	6929
356	3842	6920
357	3853	6910
358	3861	6895
359	3874	6887
360	3884	6876
361	3896	6866
362	3906	6855
363	3915	6841
364	3926	6831
365	3937	6820
366	3945	6805
367	3954	6792
368	3964	6778
369	3971	6762
370	3981	6749
371	3991	6738
372	4002	6727
373	4012	6715
374	4021	6703
375	4027	6683
376	4041	6679
377	4055	6673
378	4064	6659
379	4073	6645
380	4082	6632
381	4091	6619
382	4102	6608
383	4113	6599
384	4118	6579
385	4128	6567
386	4140	6558
387	4151	6548
388	4161	6535
389	4167	6517
390	4192	6530
391	4209	6528
392	4225	6526
393	4242	6525
394	4250	6509
395	4260	6498
396	4272	6489
397	4283	6478
398	4294	6468
399	4304	6456
400	4314	6444
401	4324	6432
402	4335	6422
403	4343	6407
404	4353	6396
405	4363	6384
406	4373	6372
407	4384	6361
408	4395	6351
409	4407	6342
410	4417	6331
411	4427	6319
412	4438	6308
413	4447	6294
414	4457	6283
415	4467	6271
416	4479	6262
417	4489	6251
418	4499	6238
419	4518	6239
420	4528	6228
421	4539	6217
422	4549	6205
423	4556	6189
424	4566	6178
425	4576	6166
426	4588	6157
427	4600	6147
428	4609	6134
429	4614	6116
430	4625	6105
431	4637	6097
432	4652	6092
433	4669	6089
434	4683	6083
435	4697	6076
436	4710	6068
437	4725	6063
438	4739	6056
439	4747	6042
440	4756	6029
441	4767	6018
442	4778	6007
443	4787	5995
444	4795	5981
445	4800	5963
446	4805	5945
447	4813	5930
448	4821	5916
449	4828	5902
450	4840	5892
451	4853	5884
452	4862	5871
453	4873	5861
454	4881	5847
455	4887	5830
456	4897	5819
457	4906	5806
458	4911	5789
459	4921	5777
460	4929	5763
461	4937	5749
462	4947	5738
463	4959	5729
464	4970	5719
465	4981	5708
466	4991	5696
467	5002	5686
468	5012	5674
469	5022	5663
470	5038	5658
471	5047	5646
472	5055	5632
473	5060	5615
474	5070	5604
475	5080	5592
476	5088	5579
477	5099	5568
478	5110	5558
479	5118	5544
480	5126	5531
481	5131	5515
482	5137	5499
483	5146	5486
484	5157	5476
485	5167	5465
486	5178	5454
487	5189	5444
488	5198	5432
489	5208	5421
490	5214	5405
491	5225	5395
492	5233	5382
493	5242	5370
494	5252	5358
495	5263	5348
496	5273	5337
497	5283	5326
498	5293	5314
499	5304	5304
500	5315	5294
501	5326	5284
502	5336	5272
503	5347	5262
504	5357	5251
505	5367	5240
506	5377	5229
507	5388	5218
508	5397	5207
509	5408	5196
510	5421	5188
511	5443	5188
512	5456	5179
513	5470	5172
514	5489	5169
515	5503	5162
516	5518	5155
517	5532	5147
518	5548	5141
519	5560	5133
